7B1B8E6E	Jonathan J Cadiz
815F98DC	Manuvir Das
13FE756D	Nick Koudas
82001926	Amol Deshpande
8133FD9E	Andrew Carlson
7D3D096F	John Byers
8626FCF2	Praveen Paritosh
8098D76A	Claude Brice
7FB6EC4E	W Koch
806ECE50	Robert P Colwell
7D4BECF5	Istvan Albert
75FCD8BF	Madanlal Musuvathi
7F40A187	Yanling Wang
805C809C	Huan Chang
84ADEB75	Doucet
811EE217	Xiaoou Tang
767015B9	Alex Pilchin
8092F547	Michael J Carey
75E5C1FF	Westley Weimer
7DE45239	Courtney D Corley
80EDF8CB	Dana S Nau
45D2F7A7	Alex Krizhevsky
85BA9C4B	Barry K Rosen
7F0B52B0	Robert Schreiber
08533FEB	Thomas Moscibroda
7B4B153F	J Oshea
10308D01	Yan Solihin
85629348	Eleazar Eskin
7F156EDA	Owen Rambow
80A8288F	Alan Jay Smith
84E1225D	Sangdone Kim Kim
7ABCFD0D	Ramanan Raghuraman
7D4A354B	Hugh W Holbrook
84487006	Elizabeth Borowsky
7EDC3323	Patrick Min
75898CEE	Chavdar Botev
046DA306	Laurent Eschenauer
7560CC0A	Markus M Breunig
7640AC10	Ari Hottinen
02889EDA	Gjergji Kasneci
7DDB8EFB	Steve Zhang
7ABB91AF	Lev B Levitin
8628DB3C	Hanswerner Gellersen
0E6BC487	Mani B Strivastava
84E805B6	Rudolph Ahlswede
85648F66	Marvin Theimer
84F0A758	Tom Chiu
7638D35D	Stephen D Bay
758F1E9D	Nigel Duffy
55A428AB	Rahul Sukthankar
8391CF77	Victor K Trofimov
80C57797	Namit Jain
7CF7EEBC	My T Thai
7EAA12C0	Indra Widjaja
815934CF	Jack Greenfield
0C345745	John R Nickolls
84EDF4B3	Robert B Hagmann
7B5BBA91	Meyrem Kirman
7F087D2C	Venkatesh Raman
7CBDC305	Honghai Do
4A8A7482	Imad Aad
851087E0	Jennifer Rexford
759B68E9	Jan Chomicki
14E53D00	Robert E Tarjan
8631684C	Larry S Davis
80DC91B1	W G Weber
8584C24C	Yong Peng
78E29F5D	Carlo Zaniolo
808745B0	Yuguang Fang
85593A5B	Virgil D Gligor
816C1242	Amir Pnueli
7BEF43DF	Jude Shavlik
7E9130C1	Mitsunori Ogihara
7E36E24E	Murari Sridharan
823BD4D9	Eliot Siegel
84DC6126	Shiduan Cheng
83DCCE1F	Fang Yu
7904F2B4	G F Boudreauxbartels
10D01A01	John P Lehoczky
17A249AF	Peter Mattson
0BD7E921	Erik B Sudderth
2AD2CBFD	Chris Callisonburch
0279D2A4	Olivier Faugeras
8639102D	Honghai Do
84CCF42B	Susan L Bryant
62F44805	Andrey Ermolinskiy
78F05B08	Lutz Papke
7C136427	Sharon A Caraballo
0966B2BF	Ralph Grishman
861F39CD	Nick Koudas
84D29F45	J M Oconnor
7822D923	Benjamin C M Fung
7A8F3DBE	Patrick Mcdaniel
7FB399F0	Kianlee Tan
7D29BB8C	Hujun Bao
849819C6	Sclaroff
02F822A6	David Monniaux
836320C1	George P Copeland
7D3D10B4	Thomas G Price
7AAFB65D	Bryan Catanzaro
7FF5C42B	David P Williamson
7735B336	Thomas S Heydtbenjamin
82C68345	Changhyun Lee
81322D53	P Anandan
76F4A53C	Nick Littlestone
BC971E5F	Jian Liang
7EA7463E	Jonathan Chang
7FD11CF6	Srdjan Capkun
8109820E	K J R Liu
136734C1	Paul M B Vitanyi
7E7717D9	Zhuoqing Morley Mao
7F6AF091	Chihwei Hsu
03B6B63D	Robert M Akscyn
13D8B6A7	Marwan Krunz
85C436F8	Jian Li
7FC3E05C	Justin Betteridge
817A42B9	Josh Broch
74A29FA2	Dejan Kostic
7E3ABF3B	R L Desai
8021CE85	Landon P Cox
7FC14ACA	Tuomas Sandholm
7AABD5C8	Jernej Barbic
8038E2BF	Pengjun Wan
804B16F5	Carl Pollard
73705439	Luciano Serafini
6A909B50	Anastassia Ailamaki
7F2ADCB4	Miodrag Potkonjak
7FA07F5F	Raymond S Tomlinson
481F1B43	Karthikeyan Sankaralingam
7FCE93F1	Peter E Hart
2BF27CC6	Aristides Gionis
811190E3	Ninghui Li
791A59F3	Jonathan S Shapiro
7E4BA9F9	Jorg Kliewer
7BD844B4	Raymond G Beausoleil
80DC0191	Wang Kay Ngai
7D41530D	Yin Zhang
6A6975E1	Richard Wolski
8499FB18	Kinshuk Govil
8281154F	Peter J Bickel
80F39323	Ian H Witten
7AC8C538	Neal Sample
10C4C41E	George C Necula
8144775D	Anton Mityagin
7EB891A6	Pierre Duhamel
7D5EE09E	Nicholas Roy
7439A3B6	Jaana Kekalainen
4971D24B	Olivier Lhomme
72A61AF8	Rina Panigrahy
83D37AAC	Dan S Wallach
29B2C4A4	Silvio Micali
803C2A82	J F Scott
82DE898E	Alain Kagi
7BE97C65	Xavier Nicollin
83636F90	George Cybenko
838839FA	John E Hughes
8092A8AC	Antonio Torralba
00768F35	Dino Pedreschi
82E7D1FF	Lance R Williams
28529322	Susan T Dumais
7FF7B34F	Dana Ron
84B3C2CC	N Christianini
8499E215	Asjad M Khang
0B9370B1	Dina Katabi
1254675C	Albert Bifet
7FA9638B	Timothy H Harrison
763C52BF	David Lomet
7E964845	Wynne Hsu
812BDC43	Sang Kyun Kim
7E065028	C D Frost
84B67B57	Cordell Green
812617F1	David A Grossman
83D2B92A	Charles Asmuth
2915CE74	Umeshwar Dayal
7DAFD36E	Junshan Zhang
817485A0	Yingdar Lin
7D5F3A0B	Xiaoyun Wu
7C1F40FB	Christian Berthet
75D7E6B6	Mikhail A Belkin
805BF7BD	Chita R Das
80F485FE	Andrew Blake
78B27597	Rueylung Hsiao
7FDBA2F4	Paul W Goldberg
7FB00424	Tamir Hazan
80E978AA	Marco Mulazzani
8597AD7C	Dan Grossman
00051A7F	Manuel Calimlim
7896FC99	Anukool Lakhina
7DC70F96	Luis Von Ahn
80E8CE44	Shipeng Yu
7B2715A0	Jirong Wen
0BCAA68F	Peter Knauber
7E8ED46C	Joseph F Mccarthy
800E2106	Weiru Liu
804D9B5F	Vicky Wong
786CBD74	Kian Ming A Chai
9797B851	T Li
7F61693F	Arvind Krishna
775598CB	Edwin S H Hou
4AC5FDEF	George Z Chrysos
7D170842	Lee Breslau
802933B0	Bin He
80045A2F	Fei Wang
7F24597C	Jeff Donahue
762473DA	Nurcan Yuruk
7DD48B98	Arul Menezes
0FBD40F7	Barbara Hayesroth
06EF497E	Mohammad Ali Maddahali
78F79C49	Danushka Bollegala
7F535E45	Monica S Lam
8171DF4D	Timothy J Purcell
7D8ACC8A	E A Emerson
1576DFF1	H V Jagadish
7D9CB513	Yingyi Bu
7917C6EE	Karthik Sankaranarayanan
27A3C71E	Olivier Rioul
7FA8867F	Jeffrey Flanigan
7E23DF05	Jing Deng
85FF7270	Jaz S Kandola
80B7BD56	Stefan M Moser
7D2CC750	Jacopo Mantovani
83556C84	Paul E Mckenney
53EC29BA	Jason Morphett
7FA52489	Vikram Srinivasan
7D6F851F	H El Gamal
7FAC4A60	H V Poor
F2E2D411	Haixun Wang
86346A07	Paul Gastin
8400C216	J R P Barros
5A9332C6	Sara S Baghsorkhi
810E0D58	Marc K Rosenblum
7D84A99F	Tak W Yan
7A5DB3D3	Fae Ghodrat
5B80B883	W E L Grimson
7F8CA571	David A Hull
863340EA	Michael Kifer
817CE6F1	Jordan Pollack
7534A72D	David Hogg
81C15506	Yair Frankel
0E5AA1E4	Cyrus Shahabi
29AF08FF	Antonio Carzaniga
1BBDD3AC	Gene Tsudik
28912C51	Jon M Kleinberg
816003BE	David Evans
7D0E43B9	John E Laird
7E97884A	James C Hoe
7CF822DE	Jae Hong Lee
7EDCE1E3	Tsutomu Matsumoto
77172889	Peng Ning
1648E76B	David Beymer
07C370A7	Chris Volinsky
840BE4CA	Xin Dong
7C5451F3	Lance Fortnow
82939CAB	Suresh Singh
800671E3	Samrat Bhattacharjee
116E93F4	David Mazieres
85D38494	John V Guttag
7FA58748	Martin Raab
7EEE1732	Julien Cartigny
2B1664DA	Paul Thagard
80E5C87A	Srinivasan Keshav
81334DE4	Jiying Wang
811EE3E2	Myle Ott
823E6F6A	Paul Havlak
7986A474	Paul Barham
7E5005ED	Jongdeok Choi
746DF370	L Masinter
7E5AB52B	Wenyuan Dai
844C4545	Donald Hindle
7EBA9295	Barry Brumitt
7C3DF229	Enhui Yang
7F06A8F4	Tal Rabin
7D708AAF	Stefan Savage
82D0D0E8	Kristin Tufte
7628BD51	Nigel Shadbolt
80B8C8FB	Michael J Fischer
7EEDD490	Kamal Jain
811ED62F	Balaji Prabhakar
860C2E85	Yuri Gurevich
7511BBF5	Dan Cosley
7E29A2A0	Xifeng Yan
756ABD2C	Przemyslaw Pardyak
13950312	Barbara J Grosz
7D492FBD	David Miller
7DF8162B	Ian Goldberg
783EFDB6	Lloyd R Welch
810D1A74	Andrew M Pitts
7C0FCBB5	Yoav Zibin
716B6E0C	David A Kranz
7D309E3E	Krisztian Balog
7CAF9B6B	Philip Schniter
8509AEDE	Alla Safonova
7D1FAD7B	Anuj Puri
8627F6D9	Rosie Jones
7B6673B1	Jacob Ofir
7F021684	Michael Wooldridge
86058D7D	Pat Morrow
7FA4417E	Dan Shapiro
CE6A56B1	Gang Lu
8118A14E	Jieping Ye
78FB1D97	David J Farber
2C27E05B	Costas Courcoubetis
803A1078	Patrick P Lam
7A380467	Anthony Lamarca
80A3025A	H J Schneider
7F2B8324	Lantao Qi
80229729	Sukriti Ramesh
797420B2	David Nakahira
7E4A5CFE	Ernesto Damiani
7E41D1B1	Minqing Hu
7D012479	Eujin Goh
8133B7E5	John W Woods
7F305595	Stephen Dill
496439EB	Matthew Roughan
7C6BEF23	Kevin D Bowers
7EECE99F	Sanjoy Dasgupta
7FD93184	Atul Singh
8088168E	Hanna M Wallach
7CEB7744	Jeff Kramer
7E29605B	Peter Y T Hsu
7EB40B8C	Ebad Ahmed
7D772C76	P D Weiner
79FC8269	Roger Dingledine
11DAC03E	Karen Holtzblatt
8627AC51	Byunggon Chun
7EF9B5EB	K H Bennett
817263AB	Walter Steiner
80DF2132	Martin Abadi
7E3714FC	Yun Cui
79D4CE58	Rachel Pottinger
7EDB7A9A	Joel E Richardson
5AE63953	Regina Rosaleshain
58CA7219	Brendan Meeder
1389AB2B	Oliver Ruthing
7A6192C3	Yann Lecun
810B78C4	Carl G Ramey
84C1560F	Romaric Guillier
8516ECBE	Eli Upfal
7CBBA654	Joelle Pineau
7E9F7AD2	Donald Beaver
7DFABFAA	Richard N Taylor
82523B9E	Hideki Atsumi
8418B7AF	Y Chu
6E087D31	Stephen M Blott
7C06308D	Rudolf Bayer
80677DEE	P Krishnan
7EB23CE6	Waqar Hasan
7C74928A	David Carmel
751AC7B7	Martin Arlitt
7D014592	Eduardo Laureano
862EE587	Ying Zhang
815BC45F	Jian Sun
7CAF3E7B	Bertram Ludascher
7FDAF0CF	Timothy Sherwood
073EFFBB	June Andronick
03735B91	Satyanad Kichenassamy
81034328	Jonathan Ledlie
70B821F6	Thomas Gartner
826981CF	Albert Greenberg
759E84E1	Mihai Budiu
7DE6860A	Xin Li
7F8D4B7E	Yuli Zhou
741C734C	Jonathan Mamou
7E52C3E8	David P Gibson
7F428F2D	John Foster
816E52B6	Marcello Federico
80ACABED	Keshu Zhang
7E47C404	Anand Desai
7AF25660	Nicolas Halbwachs
7B9D3B45	Davide Lorenzoli
7D555F18	Prashant Krishnamurthy
0D1B3C49	Bela Julesz
0413B966	Craig G Nevillmanning
8084E5CD	Rakesh Kumar
124307F1	Collins
850C1A47	Kinpong Chan
5D1017CA	Chandrasekhar Boyapati
7FCD634A	David Meisner
7F0BF233	Joe Kilian
E3352D04	Peng Xie
803C4EDF	Lo Yuen Yee
8164B4D2	Xiaoyue Wang
80F3DA0E	Yongfong Lee
77F50169	Cliff Lampe
7D42BF65	Nicklas Hedman
805D2055	Mishra N
7BDD3E42	H J Siegal
7CFFBA81	Steven H Low
7EE457A3	Monika R Henzinger
28C1CEDC	Pavel Zezula
7FF2A64B	Mohsen M Farid
7A900EDD	N Delprat
80B8DE30	Tanay Karnik
8530FB4C	Lotfi Lakhal
6D3A5954	Arun Somasundara
59376E31	Mark Finocchio
427DE9C2	Rastislav Bodik
5887AB8E	Peter Gehler
5EEB3D1D	Shaker Sarwary
790F805F	Andre Broido
7F585A26	Ken Kennedy
849C6AC3	Z M Fei
81859531	Elwyn R Berlekamp
7D0D0BA3	William Pugh
7580E43C	Keith J Holyoak
0BAEFAC6	Srisankar S Kunniyur
0CD2A3C0	Ilya Sutskever
850D76D8	Matthew Page
73D4B8AE	Pascal Lamblin
177EB722	S Alexander Spoon
7FBA9AAE	Tatsuaki Okamoto
82683FB2	Matthew Brand
84C3BCF4	Fabio Violante
06C73FE9	Dariush Divsalar
05AACFE7	Peter N Belhumeur
06847F77	Omer Reingold
783EF64D	Craig H Labovitz
83EDFF8F	Xiuyuan Yu
DE2ECB60	Jing Jiang
0F35B7FB	Andy Bavier
7955B87B	Riccardo Rosati
0905BDC5	Mary Beth Rosson
0D8D4CD9	Scott T Leutenegger
8630DF46	Mauricio A Hernandez
7F339A86	Xue Liu
8559CDDA	Lei Zhang
EC66C6EC	Jun Shi
7DB6A72C	Yu Chen
75DD84E3	Andrey Rybalchenko
7EAF246D	David E Smith
7692F84D	Kevin Altis
804BB8AD	Howard Foster
7EE4D941	David L Levine
7A1FCC43	Eyhab Almasri
7E71AB8C	Bharat Bhargava
1BAD50BC	P Venkat Rangan
7D4D661A	Joseph H Goldberg
7D94D7CB	Robert H Halstead
7FA04E99	Yuichi Fujiki
06A6C57B	Richard Bornat
7DBE4309	Raymond T Ng
788169CD	Paul Helman
0A70DA66	Joann J Ordille
300E529A	Guido Gerig
77390AAD	Thomas R Porter
7D05E5F3	Arunesh Mishra
7CE9373D	Sherman S M Chow
16039240	Matthias A Blumrich
7F380D57	Vicent Caselles
7E412B4C	Donald Yeung
7A48E88C	David Haussler
7778228F	Prithviraj Banerjee
27D40735	Julie Weeds
8117A162	T N Lal
110E8BB1	John Koutsias
27A6CA07	Hermann Kopetz
7579DAD4	Lubomir Bourdev
7AA94D40	Florian Hess
83414DE6	Flip Korn
49C95C31	Michael J Zwilling
7F191824	Sergio Angel Marti
8512C3A1	Tomasz Imielinski
7EF685A0	Bart Selman
848950D2	Michael A Driscoll
7DED0462	John Hughes
7B193A2C	John Hertz
80D58ED8	Ion Stoica
1E511B2A	Sennur Ulukus
7F08534C	Dawn Song
567D0C4C	Peter J Weinberger
7E496F73	Gang Zhou
80BCCBF8	Samir Khuller
7F0A9595	Torben Pryds Pedersen
8175F519	Ravi Prakash
84D05908	A Faloutsos
80A92B2C	John J Odonnell
7F44AFE6	John Snell
8639B5BF	Gilad Bracha
7F278DD1	Ruizhong Wei
7E422709	Janyce Wiebe
7E5FB516	Qingbo Zhu
806F320E	Jeongki Min
7672827F	Colin Cherry
7E38F856	Xinwen Zhang
7DD282E8	Rafael Guillermo Garcia Caceres
10D7062A	Vassilis Prevelakis
7681C4AA	Roland Siegwart
77697EC8	Fang Zhao
7624D72E	Sharath Pankanti
80D63456	Norbert Beckmann
7EA06D21	Matt Jones
80772DD9	Edwin Bonilla
7ABCA111	Rakesh Ghiya
7FA4F9A6	Jon C R Bennett
7D3EF948	Valery Naumov
81717DB5	Ajit Warrier
7C86A6B8	Arthur Appel
86266610	Swarup Acharya
04CD6463	Serdar Tasiran
7F2F19C3	Chee Yong Chan
808BADEB	David S Evans
7D81EAED	Monica D Lam
7EEBF5D3	Bruce D Lucas
7EA582E6	Gerard Berry
75E26D1A	Supratik Bhattacharyya
74493B71	Mordechai Mushkin
84DF941E	Heng Wang
0A4077A3	Kemal Ebcioglu
839060A2	S K Leungyancheong
7A49F117	Mike Dahlin
6E3F11B9	Peter L Bartlett
780CF569	Elisha Ziskind
80516B10	Kaisa Nyberg
7DC0D68B	Nancy Hall
7870739C	Bruce Lindsay
7C4D6706	Brian Hart
49745A50	Zenon Protopapas
85A6D54B	Pierre Moulin
7982DD9E	Paul Heymann
7A838B21	Teemu Koponen
7E384720	Jerry R Burch
7D01ED71	Arthur M Keller
7D8CF13C	Albert Greenberg
86279BC5	Lada A Adamic
80AD96EC	Konrad Lorincz
803C17B5	Daniel Dunbar
80A5BE89	Xiaoqiao Meng
7DC45734	Colin Evans
81B9245F	Christian Hang
862AB76A	Pawan Goyal
54C342C4	Deniz Karakoyunlu
7D98EADA	C Mic Bowman
7FEC7889	Colleen Shannon
11E3747D	Subbarao Palacharla
042E7616	Joakim Nivre
14B6AC28	Karen R Sollins
27E0BDCB	William E Skaggs
7DC85107	Raquel Urtasun
0D3B67B3	Freeman
610145A7	Daniela Tuninetti
7ECE77E7	Michael Reed
7B0E79D1	David Maier
7EED40C8	Edmund M Clarke
7B50CE3E	Harpreet S Sawhney
0C6B13BB	Cynthia Dwork
83E60DB3	Gabriel H Loh
7E19205B	Sumeet Singh
7CEE86CD	Vipul Goyal
85684A51	Ravi Prakash
80B437D0	Chenxi Lin
80747DD5	Michael Merritt
7E1F9D4B	David Chu
80FC7569	Jay Ayres
758EC809	Alexander J Smola
7F1272F3	P K C Pillai
7642147B	Karsten Schwan
04ADAFF5	Uri Zwick
76CB67F3	Aynur Abdurazik
84A13989	Reid Holmes
7B216E50	David S Kaufer
8516D543	Jongseok Kim
8003BF52	Heungyeung Shum
7D2976B6	Ravi Kumar
8615DA00	Jun Zhang
8537BA58	Johan De Kleer
7E0706FD	Ben Wiedermann
0B56A9C1	Sylvia Ratnasamy
0CFE894A	Petros Zerfos
7F2DCDE1	Thomer M Gil
76682148	Mayur Datar
7F6CE2E1	Edsger W Dijkstra
7EBA3AE4	Eric K Hall
7E52B319	Andrew B Philips
814882B7	Pedro Domingos
80A2E247	Tru H Cao
158219C6	Carlo Strapparava
7F373135	Mark Craven
76AE52A1	Ross Wilkinson
7E6BCF2A	Prosenjit Bose
7994FA84	Onn Shehory
7F3575BF	John T Robinson
7F603478	Fabian Kuhn
826228C6	David A Mcallester
797872D6	Desmond S Lun
7F0AF1C8	Ken Keys
7DAC0502	E Seo
76BC1EA8	Jason Flinn
81618B96	Uichin Lee
7F6075AC	Kevin E Moore
7DE20ACE	Wenbo Mao
3BD10D3B	Nick Puz
81891971	Jan Camenisch
848FDBC7	Fay Chang
7A80F5F5	Robert H Crites
7E85DB64	Jared Casper
84E3FD81	David R Wilson
80162728	Raymond F Boyce
1228DD7A	Marcel Rupf
2AEAA1AE	Phokion G Kolaitis
7AF223B8	Edward W Knightly
7EDD7006	Ruigang Yang
777FEC80	Panayiotis Mavrommatis
707F48B8	Sebastian Nowozin
7DC14F87	Satyaki Das
7E61A97F	Andrew W Appel
13371C50	Patrick Flandrin
0F081EFE	Gerome Miklau
863522AF	Todd C Mowry
540C1104	Christopher Lee
817A430F	Yian Lin
81099917	Olaf Zimmermann
079D0CDB	Georges R Harik
7FBC4F90	Lawrence K Saul
7CF194F2	Lars Backstrom
77789B73	James Pustejovsky
775045AA	Jan Camenisch
8107BB6B	Sally Floyd
80FCA44F	Raghu Ramakrishnan
82CD12F0	Jimmy Homan Lee
78B62410	H F Mattson
81A03078	Amar Gupta
77A72E60	Tom Fawcett
84D26483	Zoran Nikoloski
80AA8C67	Adnan Aziz
76E69D74	Yair Bartal
0D52832F	Andriy Mnih
7E50AF3E	Chris Dyer
8511C11A	Hya Shlyahter
8089AA7C	Simon Sheu
824C79D8	Timo Schmidt
80094185	Caroline Claus
49E16D88	David Lie Chandramohan Thekkath
855250E6	Jehoshua Bruck
81B545F6	John Dunagan
7A79C8B0	Josep Maria Mateosanz
7709AC14	R Tamhankar
856A7126	Anoop Gupta
774435EF	Robert Krovetz
84B43D2A	Wallraven
7797060F	Daniel E Rose
7599A7E5	Murad S Taqqu
7ADF27C1	Vijay Ganesh
7E6FFAB6	Pankaj Rohatgi
80B654A3	Paul Hudak
84D10C79	Tony Larsson
7D58C4D3	Mendel Rosenblum
13A47573	Augustin Chaintreau
82358462	Abbas El Gamal
85D8E114	James Moronski
7FCB2455	P Perez
78D39313	Ishwar Ramani
84E60093	Pardis Miri
805BEF77	Lynne Stokes
80DC19B2	Eric Mohr
010EE82C	Gabriel Taubin
7E3B069D	Bala Iyer
7E4A69C3	Horst D Simon
84F8BD6C	Mary Fernandez
80E5002F	Soma Chaudhuri
7F968B14	Steven Hand
7EB3DD51	Paul D Feldman
7EB80123	Ling Liu
7E3F6EBF	Rohit Bhatia
7DF424A9	Gustavo Rossi
80803EC3	Alistair Moffat
7E6B1D70	Min Ding
78CB482A	Victoria Bellotti
8317EFF3	G R Phillips
8437877F	Tim Harris
12857062	Heikki Mannila
800C9B9A	Min Cai
7FBC07D5	Linli Xu
80897308	Xiaoning Ding
7CB20E21	Thomas Hofmann
8035DFE6	Tom M Mitchell
7F9BDD2C	Yasemin Altun
836F0F86	Brian Cooper
84021028	Petteri Alahuhta
7FFF0D69	S Gupta
863D2F7B	Drew Mcdermott
74D765D4	Guruduth Banavar
8036D8DC	Haym Hirsh
850C0024	Ned Brekelbaum
7EAC0377	Brent Chun
7EF49059	Ron Papka
7F24ABF9	Robert M Bell
7CE7ACDE	Padhraic Smyth
7D421ABA	Chinmay Hegde
7DF1CAC1	John D Day
7F00F51A	Mark Allman
597FB9C4	Jerome Euzenat
75A68B99	Olav Tirkkonen
7DADBDED	Tal Rabin
806DD3EA	Joseph A Osullivan
7D85E610	Joseph Sifakis
7CE36F02	Robert Grossman
7E5744A2	Dengyong Zhou
7EB5225E	Willi Meier
6758097E	Ji Zhang
7558DA00	Kui W Mok
756A6E4D	Douglas H Wiedemann
7F2B175F	Ramesh C Agarwal
771BCFF1	Constantine Papageorgiou
7FDBCD48	Eric Rotenberg
7D2E78DF	Katsuyuki Takashima
7ED0E74E	Yang Richard Yang
7DF708C8	Philip Pritchett
831279AF	Pushmeet Kohli
7D51917B	Tony X Han
858A3B3D	Ron K Cytron
85D21EB8	Arun N Swami
46843FD3	Daniele Folegnani
795661AB	Edward L Wimmers
85006383	Hal Wasserman
807B002B	Renu Tewari
789B665A	Christopher Olston
80784176	Will Morgan
7FC400DE	Boon Thau Loo
7DEBB0CB	Alex C Snoeren
85F83376	Michael Sipser
7E289EBA	Vivek Tiwari
7DF44F51	Rakesh Agrawal
2B012767	John Launchbury
80BA5DC8	J Eliot B Moss
286844A3	Jonathan L Herlocker
7FEE7CA3	Charu C Aggarwal
84F09A45	James W Modestino
7B7F9E96	Dirk Hahnel
7A39C9F2	Bonnie Nardi
79E877D6	Carl Kesselman
7CEBE5C3	Patrick J Hayes
815F4B3F	Lixia Zhang
84B0309F	Anit Chakraborty
7D95C8D3	Diana Mccarthy
7AABDC71	Angelika Steger
7E856D9C	D Stott Parker
83A646E5	Peter Pinshan Chen
7F651489	James C Hayes
73E072E1	Eric Freudenthal
7E16380F	William W Cohen
8472D4FF	P D Johnson
8292FC3F	Vaduvur Bharghavan
7E672434	Eric Tzeng
808676DA	James E Smith
8564AAFB	Peter Stone
02029498	Dhammika Elkaduwe
7F5C647A	Manu Sridharan
7B5D255E	Seth Hallem
7816A31D	Pavan Nuggehalli
85D59896	J David Schaffer
8413AC9A	Richard Fikes
7F8C9847	Leonid Sigal
7B69C2DE	I C G Campbell
78692378	Rebecca L Stamm
6D803B74	Frederic Jurie
4802CF8D	Joxan Jaffar
7E881696	Jim Melton
7D0347C5	Ronald W Moore
85E17674	Yongdae Kim
6A61E0B4	Kunwadee Sripanidkulchai
813A15E9	Qishi Wu
7D9C865C	Cheng Huang
7A094616	C F Chiasserini
7D0676B7	Shan Lin
291B2AA3	Rajeev Alur
79F4E5AF	D R Stinson
838AA600	Ronald Cramer
4C2B3327	Naty Leiser
7E81F454	Brian D Noble
7EDEE49F	J R Brown
0E1E327C	Deborah L Mcguinness
14E3040F	Yossi Rubner
856049C7	Shaul Dar
7D9E909A	Changkyu Kim
7BA000C8	Walter F Tichy
7E83E06B	Mark A Sheldon
7E373FCA	Jingren Zhou
2A769AEE	Leon Bottou
7D3BE6F2	Frank Berry
7AA198B6	Bill Triggs
7F7EE74E	Polly Huang
7A6F42EB	David Salesin
48205F1C	Andy Ozment
0BEDA6A9	Uri Shaft
7FC1405F	Hugh C Lauer
7F509EC3	David Madigan
84B07D6B	Artem Dinaburg
8DBE2959	Haifeng Li
7707F91A	Jun Nakanishi
7F5E583D	Tewon Lee
7D2E3B1F	Yajun Wang
7D5C1D24	Prasun Sinha
7FF8F6C5	Yihchun Hu
7C0D3757	Andreas Reuter
7628D187	David C Marr
77C83F75	Paul N Hilfinger
7E9A1AE1	David Jensen
83806B04	Alfred O Hero
80358B30	Nancy G Leveson
4AAEB5D6	David Kirsh
845C2202	Siddharth Seth
80C0CD4C	Kyle Jamieson
7FED96F7	Andrew Nierman
7EBAEFE7	James Ivers
833FCDFA	Robert France
86274ECF	David Goldberg
765A0D31	John Rompel
7795EF4A	Mark Seigle
10C99D36	Roelof Van Zwol
09603816	Marc P C Fossorier
79263A16	Ryan Huebsch
86166D24	Ken Q Pu
855EE944	Christopher Johnson
81E62897	Venkatachary Srinivasan
7FCD90A9	Jeonghee Hong
757345F9	Sergio Verdu
77399D91	Robert Felderman
7F0D6F9E	Roy D Yates
801A3DC9	Steven G Morton
7EF79E08	Chun Tang
79734046	Elliot Anshelevich
7A433045	Rabinder N Madan
84EBF3D6	Herb Stiel
6C594200	Jung Hee Cheon
7D23FD37	Ulrich Germann
852A6A31	Llew Mason
80133930	Hassen Saidi
76620953	Raul Etkin
7FBE6125	Lei Jin
1380F812	Li Fan
0BED789D	Dino Farinacci
82AD3B49	Giovanni Vigna
7AC27948	Akshay Java
0B3A417E	Oliver M Duschka
7CEF958B	Keir Fraser
72C2D3AB	Ravi B Boppana
8034822E	Amanda Kern
795B4882	S R Seshadri
0420000C	Herbert Edelsbrunner
7FCC6E49	Fabio Q B Da Silva
86041291	Alan Huang
7E34C798	Haowen Chan
81675F61	William S Beebee
7FAE93CC	Szeyao Ni
792B9B19	Kenneth C Barr
7D9F65D1	Kevin P Murphy
77899314	Jayaram Bobba
7FE99B1D	Michael Garland
7D48C118	Jon Richardson
7B4C8396	Ranjit Jhala
79DE6BDD	Konstantinos V Chandrinos
7D83CC4B	Corin R Anderson
7526878D	M S Corson
295C8CBD	Tomaso Poggio
7D11EDE5	Tim Harris
78151735	Khaled Shaalan
85E91257	Edith Cohen
814A03D1	Michael I Schwartzbach
292839EF	Klaus Havelund
76DD5168	Gary William Flake
7DE8FBB8	Michel Scholl
81095639	Makoto Yokoo
0F6CB05B	Leandros Tassiulas
FA8F9CF0	Yong Zhu
8637A21F	Steven S Muchnick
0F5714D6	Olivier Coudert
1112385B	Marcel Worring
85435F26	Henry Hoffmann
81B26536	Jussara Almeida
62B8C0B1	Dimitrios Gunopulos
7D1B6F0D	Abdelsalam Helal
78C49628	Lars Erik Holmquist
7C993515	J I Marcum
7DFCE0F5	Jiasu Sun
7D81DEA0	King Ip Lin
80368B00	Benjamin Rey
7EFB4929	David G Andersen
7E708154	Ella Bingham
7A7A4C3D	Dick Epema
81070F22	Marian Stewart Bartlett
7CF6FB6F	Robert B Miller
7E7869FE	Ashwin Srinivasan
7DF31B0D	Peifeng Yin
855CF0FD	Matthew Arnold
84EA920C	C K Tan
7FDBC4D0	Oliver J Woodman
118B94D4	Mihalis Yannakakis
7DF53C99	Marten Van Dijk
7D9FEC8C	Aidong Zhang
7E66CCEC	Saul Greenberg
816F8EC6	Alexander Borgida
7C513DC3	Michael Mathioudakis
7D7F3D09	Ming Zhou
78BB16A7	Stephen Pink
221E66BA	Deborah L Mcguinness
10DC776A	Tolga Urhan
85ED6B52	Debra J Richardson
7F6B278F	Yafeng Wu
812B91C6	Francois Berard
7BF84C1E	Christopher F Joerg
