75D11493	Gerard Verfaillie
07091AB2	Jeffrey Scott Vitter
8394785F	Vinaychandra Shankarkumar
7AF1D9A0	Veradej Phipatanasuphorn
76BC1EA8	Jason Flinn
7EBCD6BD	Lui Sha
80179C3F	Sergio Benedetto
7D0B75E3	Qi He
806F1558	Shigang Chen
7E82FA10	Shelley Zhuang
2BD1FA96	Stephen Muggleton
8511C11A	Hya Shlyahter
7C222F30	Henri Prade
282682C3	Robert Tibshirani
81007191	Muthucumaru Maheswaran
113D0842	Bhaskara Marthi
8190F448	Marcel Schoppers
806DABD1	Mike Sinclair
7FB687E0	S A
760137D5	David J Dewitt
8030A705	Matthew Mattina
7C81748A	Heiner Stuckenschmidt
7E85DB64	Jared Casper
7DF25813	Hao Ma
7F59EBAC	Youtao Zhang
7D31ADFE	Hongkun Zhao
5DFF6F7F	Amos Fiat
8117A162	T N Lal
8130855B	Jaehwan Chang
6FBBD1CE	Yossi Matias
7F15B1EF	Satish K Tripathi
0BFCA2A8	Felix C Freiling
7435B7E5	Oren Zamir
7C432D2A	Alexandre Proutiere
3BD10D3B	Nick Puz
7ED6AEB5	John H P Williams
812BDE7B	D T Lee
84D27A00	C S Ananian
8035E7F3	Ryan Williams
06FF61AF	Sepandar D Kamvar
7767818F	Benjamin Recht
18E77335	Virgil D Gligor
7EDF55F0	Pankaj K Agarwal
0E5F1C31	Mark G Karpovsky
7F885DAA	John T Maxwell
7A3AD138	Gudrun Klinker
7D02FFA9	Ruby B Lee
7FCF56A7	K Ramachandran
7D08E549	Chihchieh Han
825B8206	Mehran Sahami
7DEC9EA2	Shengli Zhou
7D74AD8A	Bruno Becker
84045654	David C Chapman
847ECF42	Robert Gargiulo
7F73E321	Hieu Hoang
7B3A02A7	Mahtab Seddigh
8091362F	Zhe Cao
7ACEE285	Sam Roweis
127895B3	Frank Dallaert
7600A3C2	Hansandrea Loeliger
7E738505	Yixin Chen
805E0E38	Calvin Ko
85ACE5E9	Allan Edward Snavely
7E344CA4	Sangho Oh
801790D9	Laura M Grupp
7A949182	Andreas A Argyriou
79A2F57C	Oren Glickman
7F17C7C5	Syed A Jafar
6E49FCED	Ionut Constandache
7D28810D	Satoshi Hada
7F46EEDE	Wayne E Stark
85972309	Jia Wang
0B65BC16	Tammo Spalink
43CB1B8C	N Asokan
7D84DC3F	L Darrell Whitley
7DE0220F	Liang Huang
7D88234C	Dinghao Wu
06662305	Taher H Haveliwala
7D814B79	Qun Li
80ACF521	Sriram Raghavan
7D84C19A	Arjen P De Vries
78D8EB40	Norman Hutchinson
85314534	Yair Weiss
05E9CEDA	Florent Monay
7E356587	Jyhsheng Ke
81D1D22B	Shuvendu K Lahiri
7D2B712C	E L Lawler
7DAD9B24	V Buch
6D5C6A20	David F Nagle
81088A16	Tom W Keller
7F2F556D	Murray Eden
48A27DE3	Piet Spiessens
81652779	N J Warier
7F53AABF	Thomas Funkhouser
84FCC328	Alistair Veitch
85A8D5D5	Dan Suciu
7FC54DDC	Ziyang Liu
83051545	Danny Raz
7DE936D3	Bernard Wong
7EDC3DBE	Stuart Russell
7C9531FA	Ronald R Coifman
791E7C45	Klaus R Dittrich
84D1E84D	Ari Lazier
0B8EC736	Marco Saerens
7BEB8CDF	B Moss
7CC884BB	Arun Venkataramani
0FC79C17	Frank Dellaert
7E7A984F	Gerwin Klein
75F09B8D	Kevin J Dunlap
8096017C	Jaewoo Kang
7CE87A62	Kevin T Lim
8156AF65	William Robson Schwartz
8626FCF2	Praveen Paritosh
803410F1	Pat Conway
2AB83412	Joseph Y Halpern
7CFA73B7	James G Thompson
8627E690	Landon P Cox
84EA4996	Jacobus E Van Der Merive
7E49E4ED	Daniel Adkins
7F068F93	Keechaing Chua
7E3E683F	John Maccormick
7E568CCF	Christopher H Brooks
7E0A2E77	William A Gale
81CBCC15	Kenji Yamada
008ED8BD	Gokhan Mergen
7FBE6125	Lei Jin
7DC11EBD	Paul Royal
7B81440B	Lance Riedel
0EBE528E	Christian Bizer
84B141D4	Nicole Hamilton
7F283270	Shriram Krishnamurthi
8011B20D	Perake Larson
79731492	Arindam Banerjee
7DDA4B55	Craig Gentry
03B3F3EB	Hans P Moravec
7F361837	Bruce Croft
7D7FF1FD	Carlos M Fonseca
81C1D2AF	R D Price
7E5AB52B	Wenyuan Dai
7E535C87	David Moore
7291914C	Krister Segerberg
78A83836	Steven Tuecke
80285F1F	Sangyeun Cho
7E42EB62	Xiaoyong Liu
7EBD82A2	Y Richard Yang
7E2B2390	Haixun Wang
796A56BA	Foster Provost
7BBCB2C9	Paul Dagum
85B335E6	Tiancheng Li
7FD4EFE9	Fernando Pereira
7DC4D2E4	Chen Ding
84A6F404	J N Laneman
7D5ECA4B	Jaehyuk Huh
75DCD1CF	K A Aidoo
7ABCA111	Rakesh Ghiya
7CEBE5C3	Patrick J Hayes
77F12283	Donald Kossmann
19D12B6A	Jeffrey S Kuskin
7E7AFF0E	Jason V Davis
7E2EB7EE	Betty H C Cheng
7EA582E6	Gerard Berry
8478ABCA	Max H M Costa
814A8249	Dan Lin
62EED077	Jason N Laska
7CB1BDE5	Nebojsa Jojic
85064DAF	Dieter Fox
804CE85A	Bobby Bhattacharjee
7574996B	Moshe Y Vardi
05CA2716	Olivier Danvy
7E52C3E8	David P Gibson
13A0EB0A	Haim J Wolfson
0972D689	Selcuk Baktir
81388433	Massimiliano Pontil
81523985	David Zuckerman
83848A2C	Amol Deshpande
1DAD17F8	Asis Nasipuri
862EC9B0	Abelardo Pardo
7D83CC4B	Corin R Anderson
7C77FC8C	Blaise Gassend
7D048571	Hyunseok Chang
7C5BD87A	Philipp Cimiano
7F24B74E	Jian Ma
7EFDFA75	Tom M Mitchell
2B04780B	Derek L Eager
827A60E3	Hiralal Agrawal
396884C9	Ant Rowstron
7E2B8F2E	Hisakazu Sato
0C6BA21C	Wolf Siberski
73D2F7FC	Moises Goldszmidt
79C40347	Olav Solgaard
80DF3F8E	Gardner C Patton
7DF1801F	Nicholas R Jennings
7AABDC71	Angelika Steger
806325E7	Jason Miller
7DA9C219	William R Cook
80CD43E1	Thomas K Leung
2FCF5317	Antonella Deangeli
75BF6D6C	Ophir Frieder
1A41E46C	Justin A Boyan
04F50656	Sanjay Shakkottai
7A5D8B2D	Mihir Bellare
760EE10B	Kenneth C Sevcik
121936CE	Burt Masnick
85B8D4A6	Meral Ozsoyoglu
7FD5E944	Raymond W Yeung
7B802601	Luca Forlizzi
7D9DBE8C	Paul Reed
8507F86A	Mostafa Ammar
82D0D0E8	Kristin Tufte
3F2978AF	Susumu Horiguchi
807024D0	Alon Halevy
7E590C88	Sunil Prabhakar
6481277A	Shai Halevi
79170B11	Alin Dobra
7E40BC9A	Donald D Chamberlin
1376A0BD	Talal G Shamoon
7735B336	Thomas S Heydtbenjamin
75D3D868	Helmut Veith
82D93800	Yuhshyan Chen
00768F35	Dino Pedreschi
7CFFEDD2	Leminh Nguyen
112207D8	Mathieu Turuani
72C2D3AB	Ravi B Boppana
836E1630	Patrick P Bergmans
7F2EE758	Daniel S Bernstein
7F7EEB8E	Alan L Cox
7A80F5F5	Robert H Crites
0AE94555	Gina Venolia
856A7D67	Thomas F Elmaraghi
76014D6E	Nitesh V Chawla
8034E793	James Newsome
80967664	Michele Banko
7D88AAAF	Markus G Kuhn
7DB8985D	Tristan Henderson
8049619D	David J C Mackay
0CE0EF59	Vladislav Shkapenyuk
81389365	Qing Zhao
7ACFC1D8	Eero P Simoncelli
7D7A338E	R Reed Taylor
03A71714	Christian Grothoff
7FD1DB83	John M Carroll
7795EF4A	Mark Seigle
5AEDB73E	Ripal Nathuji
7C1F40FB	Christian Berthet
80B7BD56	Stefan M Moser
123330D7	Florin Baboescu
7B976C8B	Charles Godin
784B095F	Damon Wischik
29707864	Luca Vigano
0D1200EE	Ronald G Dreslinski
7F968B14	Steven Hand
808FE249	Feng Qiu
01D7570F	John D Kubiatowicz
7D8ECFD5	Inho Kang
8DBE2959	Haifeng Li
7EB40B8C	Ebad Ahmed
62F28366	Nandakishore Kushalnagar
72A41395	Aaron Courville
7EC79BF8	Simon Parsons
7EA8BD72	Wilf G Russell
0905BDC5	Mary Beth Rosson
7E8AF267	Dan Hoey
7E9F8EF4	Shun Yan Cheung
822FC453	Jin Li
7F6EA95C	Janak H Patel
82A68DB4	A K M F Hussain
118F2FF3	Todd Millstein
7EE20EB0	Tom Leighton
79081801	Thrasyvoulos Spyropoulos
80E69EBF	Theresa Wilson
7E8E75BF	Allan Bricker
132A3ABE	Lucia Specia
863B9E7A	Danny Dolev
863EED4C	Simone Paolo Ponzetto
0855EC3D	Bernhard Froba
7AF237FD	Ayfer Ozgur
8030E5E2	D M Arnold
840E344E	Shivnath Babu
80312FA3	Devavrat Shah
7655F8B9	Elenor Cacciatore
81FCB22F	Lotfi A Zadeh
7FA2F1F8	Bastian Leibe
7D78CC6D	Chauwen Tseng
326B772E	Jose A B Fortes
7782B521	Rick Kazman
7A77F856	Dorin Comaniciu
8109820E	K J R Liu
13ACA040	Niels Provos
8630DBE6	Lichun Bao
861F93BC	Ken Mai
7F049F32	Rivi Sherman
750CA151	William Bohrer
0EF0C68C	William J Bolosky
7A56DBF2	Norman P Jouppi
76C7F68D	Jacques Stern
7BCA0939	Gregor Kiczales
7235164A	Nuwee Wiwatwattana
7F2B7202	Yoshiharu Ishikawa
7CD8FC30	Ian Hayes
138C5CAF	Daniel Pilaud
82955953	Narayanan Sundaram
0109EB11	Bernard Fortz
760E26D3	Berthold Reinwald
7F74D891	Shengli Zhang
80F07632	B K Jenkins
004C820F	Jens Palsberg
5F1C2BF3	Bryan Parno
805F4D6E	Zhibiao Wu
50845668	Misha A Mahowald
75BE0968	Roland Laqua
7E6184C4	Ratnesh Sharma
85248966	Fernando Pereira
7EAB061E	Kundan Singh
759FAF1A	Xiaoli Zhang Fern
7BC5944C	Michael Kistler
7F40A187	Yanling Wang
7E6BCF2A	Prosenjit Bose
815B0AFB	Philip M Merlin
7EECE99F	Sanjoy Dasgupta
807EB2AB	Abbas El Gamal
84A9B19D	Zhidan Feng
8624485B	Jesper Vedelsby
847215B6	Jun Wang
804679A2	Praveen Krishnamurthy
754DEEC0	Marvin Minsky
752CFFDC	Tinne Tuytelaars
8095CAA5	Adam Greenhalgh
7755DFDE	Ezio Biglieri
7E4C3AC3	Soyeon Park
7EBD5657	Hisashi Kashima
0BBCD063	Aldo Bongio
1CC4276F	Froduald Kabanza
02C4D81B	Magdalena Balazinska
7EC9B283	Winky Yan Kei Wai
2753B490	Vincent J Della Pietra
7BBC933B	Sebastian Thrun
7E47F2D8	Erik Richard Jacobsen
8145A249	Jongman Kim
68F1A10F	Vassili Hartonasgarmhausen
7F9BA81C	John Winn
7EB24FE7	Shariq J Rizvi
7FBCAB0C	Yi Zhang
849B8B76	Mohit Chawla
7F2A840B	Susanne E Hambrusch
2B6D81BD	Hakan L S Younes
84790285	Jeremy Osterhouse
50FB0903	Frank Vahid
8427C08F	Paul Teder
7E128951	Rajesh Cherukuri
7E0CC466	Krishna Chintalapudi
188DA53F	Andreas G Nowatzyk
0CA53403	Maya Yajnik
82FF6395	Kristen Lefevre
777621A6	Michael Waidner
100FC902	Allan D Jepson
7DCB7076	Doug A Bowman
8538D74C	Garth A Gibson
02197C25	Reza Curtmola
7D3C305E	Walter Hill
0B79745C	Myra Spiliopoulou
7F8038BA	Michael I Jordan
7F313B10	Joel F Bartlett
7CACD91C	Ten H Lai
7FDCB930	Jennifer C Lai
21908EB6	Mario Gerla
85552208	Raghotham Murthy
29E69915	Ravi Rajwar
7BBF9B7B	Mike Sharples
11E3747D	Subbarao Palacharla
84487006	Elizabeth Borowsky
84BBD64F	Lei Yu
85DF677B	Ramakrishna Gummadi
84216B12	Navneet Malpani
7CD9B428	Srihari Adireddy
7F0BEFE9	Eran London
0F081EFE	Gerome Miklau
7583673F	Cynthia Breazeal
85144BB1	Saul Greenberg
7FA1DB82	Jose Meseguer
7C7468C6	Tomas Sander
27DC87D1	Ben Shneiderman
5CAC69DC	Athicha Muthitacharoen
80B66696	Anees Shaikh
760A001E	Bjorn Ottersten
86279BC5	Lada A Adamic
0E49F56A	Sotiris Brakatsoulas
0F0E60D4	Allen
811A8487	Nishkam Ravi
7E262B7C	Jonathan Beaver
7D523457	Songkuk Kim
7F67B5BA	Estevam R Hruschka
073EFFBB	June Andronick
826981CF	Albert Greenberg
7BCE833F	David Holmer
7F476D25	David D Clark
8570C77A	Alejandro P Buchmann
79A96F8B	Jonathan S Yedidia
78781F39	Natalya F Noy
0CDC90F4	Nicolas Hautiere
7B10FE79	Georges Winkenbach
01A98330	Rachid Deriche
7544EEB6	Scott C Knauer
84D9595C	Vijayshankar Raman
7F03CCA7	Jonathan M Lees
841180F3	Alon Lavie
7AD8BE7E	Daniela Florescu
0CB20E80	Wray Buntine
7E4A69C3	Horst D Simon
77FE9A45	Michael Mitzenmacher
84F690CD	Matthew Wondra
7AEE4900	Neal Patwari
17A249AF	Peter Mattson
4BEEDBB3	Edmund B Nightingale
84CE7E72	Joel Freidmann
7DA8CF12	Marvin Minsky
063A61A9	Daniel D Corkill
11A45E41	Joseph A Paradiso
755F2B7D	Witold Litwin
853F93FF	Slav Petrov
0D4A5445	Stephane Glondu
85883654	David W Wall
0E04B5E1	Rotem Bentzur
7B6E5110	Johannes Gehrke
7F8081B3	Pedro Quelhas
7F8CA571	David A Hull
0F5714D6	Olivier Coudert
03C0D031	Peter Druschel
7F140113	Y Jin
7F739B22	Jan C Van Gemert
0A6702BA	Dunja Mladenic
816ED7E7	Erika Chin
7692F84D	Kevin Altis
77497F88	David Molnar
85FF691A	James Cheney
288C704A	Noam Slonim
10AAC62F	Ashish Khisti
80EC4031	Devon M Becker
7B2B33B0	Abderrazak Ghedamsi
85C024C1	Judea Pearl
7FC400DE	Boon Thau Loo
83A35E4A	Yael Weiss
792418A1	Jan Puzicha
7DC85107	Raquel Urtasun
7FF6C277	Diego Zamboni
7DAE2CD6	Craig Partridge
805F1B70	Lyndon Kennedy
11D4C8BC	Luis Roderomerino
80B99D19	Thomas A Joseph
7535BF44	Mohamed A Soliman
0BFD5687	Varun Gulshan
13A47573	Augustin Chaintreau
8041D43A	Robert E Gruber
7EAD41DA	Haibo He
7F80337D	Adnan Aziz
741C734C	Jonathan Mamou
7F9138F0	David X Wei
7D6F24CB	John Stutz
8113A4CF	Alfred Menezes
81782B5A	Jonathan S Sandberg
7CED516D	Jim Baumbach
851AAE49	Kevin Wilkinson
7E24EC84	Tao Li
7A3D39A8	Paul Viola
86311872	Oren Etzioni
811BD751	Sameet Agarwal
7A66BA7C	Thomas R Lynam
839DE4FF	Suvrit Sra
7D9079E1	Andreas Zeller
7F73EA27	Thomas Porter
7B6EEEAE	Tuomas Sandholm
816AAF27	Seokwoo Lee
79610A77	Benjamin Kuipers
7C62B1D2	Krishnendu Chakrabarty
850A6A5F	Hebert
7A71572A	Dana Nau
81582A57	Janey C Hoe
7EF1EA7E	Daniel V Wilson
7F9E350F	Galen C Hunt
809A6BA4	Jennifer M Schopf
7E34B2E6	Richard Kessler
7DD6C90B	Dewayne E Perry
75882010	J L Starck
80358B30	Nancy G Leveson
7EDE0284	Prakash P Shenoy
72C4E8D5	Ramakrishna Gummadi
7F981E0D	Dave Reynolds
01054A39	Antti Valmari
7D799E23	Lance Parsons
7E50C199	Lionel M Ni
7D41B29E	M O Dunham
76522F0D	Ronald Devore
77E32738	Arun Penmetsa
81D584A7	Fernando Pereira
7AB6C9F9	Niko Baric
7E50AF3E	Chris Dyer
844B1AD4	Michael I Schwartzbach
78E39B7F	Raymie Stata
823BD4D9	Eliot Siegel
86282321	Wei Peng
847143F3	Wei Wang
863EF3AB	H Xi
84A06AB3	F J T Fabrega
697B67EE	Parameswaran Ramanathan
0911DB8A	Davor Cubranic
7D22EDD7	Hangsheng Wang
7D0616D5	Mayur Datar
8042F2D0	Takshing Peter Yum
8013E51C	Christopher M P Russell
7F75CF5C	Rakesh Agrawal
7DE161BA	P J Phillips
7D77D7F3	John Darlington
11736197	David H Hickam
84D83308	Liaden Ita Ocallaghan
80D63456	Norbert Beckmann
17AC04C9	Don Brutzman
8524BDE8	R L Kashyap
850C4A4C	Christopher D Murray
536624DD	Mauro Pezze
7CEC0D5A	Yuan Xie
11883F38	Yvan Labiche
79A6456D	Richard G Baraniuk
0FC54C81	Nanda Kambhatla
801444F3	Enrico Gregori
05424A5F	Josef Ruppenhofer
7A90472D	Muriel Medard
7E2A06E7	Vijay S Iyengar
7C53C4A8	Marc E Fiuczynski
12DAB89A	Jonathan I Maletic
754B5409	Andy Hopper
0258448B	John Ockerbloom
7A721372	Malgorzata Steinder
0E132E81	Robert N Sidebotham
85846FF0	Kenneth P Fishkin
0C9815A4	Wim Sweldens
7F200BA9	Seth J White
84A13989	Reid Holmes
5FC742A6	Karin Schnass
7FFDACD3	Patrick Crowley
7EC9FCB9	Dwaine Clarke
7EAF9DF7	Biswanath Mukherjee
7D9FABD1	Henry Hoffman
13286262	Eitan Gurewitz
7786B720	Joshua T Goodman
0290FACD	Christian Cachin
2B25A921	Les Gasser
77783616	Daniel Gildea
2BD8281A	David M Goldschlag
0ED3EBBC	Leila Amgoud
7688AD6B	Gilbert C Sih
82B56279	Kenneth E Batcher
690F53A7	Stephen G Pauker
76482346	Kimberly C Claffy
1313E205	Gordon Wilfong
7E23DF05	Jing Deng
852BB50E	Paul Johnson
80C0BFE3	Raimund Moser
7D2DD765	Martin Heusse
7F9B70D7	Silvia Figueira
7D975913	Xuelong Li
77FA4ABD	R Erbe
7FB61FAE	Amerson Lin
7E68D568	Jilin Chen
43800104	Freddy Y C Mang
02FF1E3F	William G J Halfond
7756D1E5	Quinn Snell
7C68F267	John Stasko
7655DBC4	Elizabeth M Beldingroyer
7A41C4D3	John J Grefenstette
7A2425E7	Hendrik Blockeel
769A3014	Robert W Scheifler
2C0CC54E	Inderjeet Mani
7789FB09	Milan Vojnovic
0F972B34	Athina Markopoulou
75E01441	Joshua D Guttman
76217F8F	Shahar Mendelson
4A73F32E	Harshad Kasture
81057C91	Lance Williams
7E393729	Guiling Wang
7E1FB9D3	Zhu Han
83DAAB05	Stephen Schwab
13FE756D	Nick Koudas
1B3DAD56	Adnan Darwiche
80EF5846	David Paul Mccarthy
7AD55B4F	Craig Boutilier
84E5DCDC	David Nister
7E66D30F	Joel Sommers
042E7616	Joakim Nivre
7BB859CE	Morton M Astrahan
7C29C44C	Carmen Egido
7FE22CDE	Qiang Shen
27822006	Sudarshan S Chawathe
852F1B23	Gottfried Ungerboeck
806ECE50	Robert P Colwell
856F843F	Bart Berden
08D8C1E5	Stefan Buttcher
16039240	Matthias A Blumrich
791FBAB6	Gosta H Granlund
77B05615	Johannes Schindelin
76F98D25	S E Avons
7F672E0C	Adrian Petcu
7E586C90	David Tarditi
79379685	Naoki Suehiro
84A25D33	Patrick Thiran
7EC946AD	Clifford Nass
81671E42	Phil Rogaway
796D6ACA	William H Maisel
7E30089A	Jose F Martinez
75FEEBDA	Jorma Rissanen
8532C799	Michael Zhang
78889F99	Eiji Okamoto
7CE91ABE	James D Guyton
0B213699	Gil Kalai
8077A929	Saisanthosh Balakrishnan
84EF0817	K H Kim
7E163C54	Roy T Fielding
7BBB3B48	P Hankes Drielsma
848E60B7	Michael T Orchard
7F20A8A6	Shuoyen Robert Li
76948107	Byron Reeves
7C305869	Raymond Lorie
7C4669BC	Alf Zugenmaier
7CA1A7B2	Ronen Basri
7D2E3B1F	Yajun Wang
7BBAD842	Glenn Judd
0FC94792	Ron Bekkerman
7EA85499	Donghui Zhang
13307B47	Olivier Dousse
0CF52553	Brian D Ziebart
7DF0280D	Andy Chou
7FF37E12	Zhe Guang Zhou
78807E42	Yoav Freund
863990C4	Jeffrey Erman
7F510264	Mark Weiser
80824401	Nathan Beckmann
7A17D71D	Mariechristine Rousset
81C6CF87	Bin Jiang
7E29605B	Peter Y T Hsu
7B679480	Pat Helland
84E19B52	Rebecca E Grinter
7961AD48	Nicholas Nethercote
7B11B1F4	Mohammad Alizadeh
83FCC340	Omprakash Gnawali
8056EA45	Tim Mcinerney
7E19A9CA	S Sudarshan
836B1705	Shmuel Safra
76DDB001	Carla E Brodley
77F6A8DD	Robert J Ragno
78AA2730	Shahab Sanayei
7DCB5D0C	Chunqiang Tang
76853592	T N Vijaykumar
7FD104FD	Jeongseok Ha
811D795C	Mark J Clement
812617F1	David A Grossman
062A0022	Eugene Charniak
7E6AAE45	David S Johnson
0299BBC6	Eugene R Rodemich
811E9E6D	Anirban Mahanti
7D4A354B	Hugh W Holbrook
85F6B95D	Rakesh Agrawal
22327862	Razvan Bunescu
032D4125	Kostas Tsioutsiouliklis
118B94D4	Mihalis Yannakakis
775484B4	Lena Gorelick
047B2D8A	Christian Kohlschutter
7B386A03	Sanjeev Khanna
7EB04793	Xuemin Lin
7D5459D0	Lakshminarayanan Subramanian
84DBA0D4	Phil Levis
78E6E4E5	Theodoros Lappas
4A6B2B05	Tapas Kanungo
7DA7AEF6	James Allen
7E846B2F	Sharma Chakravarthy
7E9F7AD2	Donald Beaver
7E2B669B	Quoc V Le
4716274A	Finn Kensing
7EDEE49F	J R Brown
7E01E053	Ray Strong
7F2DCA44	Xiuzhen Cheng
78BDB00F	Jorg Ott
7B36EACF	Martin Ester
81CC185B	Changtao Qu
8013F18F	Tadayoshi Kohno
813F6C3E	Hai Jin
772D1ED3	Krishna Bharat
81533F50	Anhai Doan
7FCD634A	David Meisner
822C6C9E	Justin Ma
8072DFAE	Ian Pratt
7E8E3A48	Anand Padmanabha Iyer
7F8090AF	Anders Krogh
7CE8E9A9	Junsheng Cheng
27A6CA07	Hermann Kopetz
8002F214	Thomas J Schaefer
11A7FAEC	Hrishikesh Karambelkar
1447DD1D	Tommi S Jaakkola
7EC4448D	Kenneth A De Jong
81A400A8	Daniel H Greene
110FDC44	Alberto Colorni
79036766	Richard T Simoni
79409D1C	Alessandro Tiberi
7DC0D68B	Nancy Hall
64AEB48D	Uta Wille
81C15506	Yair Frankel
7E144623	Balaji Prabhakar
80388B5E	Tian He
7DF7971E	Antoine Mine
80027F04	Mario Cagalj
7D23FD37	Ulrich Germann
85ABCCE1	Lawrence A Rowe
9797B851	T Li
8608F40C	Stephen Clark
80094185	Caroline Claus
81387E67	Yoonkyong Lee
7FDF79F9	Richard J La
1066FB82	Haluk Rahmi Topcuoglu
14592651	Thomas Reps
84EC9971	S Xie
7E8A5E28	Qing Wu
84B0309F	Anit Chakraborty
80A560F0	Massimo Paolucci
8088168E	Hanna M Wallach
034E1A0C	Vassilis Christophides
7E97D7F2	Martin Wattenberg
82B17182	Dylan Mcnamee
7EA65F22	Badrul M Sarwar
0BAEFAC6	Srisankar S Kunniyur
274FA286	David Maxwell Chickering
740B6E78	Hang Su
08F00CCF	Rutger Hofman
84CD8631	Xiaoming Huo
7A672BBB	Konrad Stocker
7EFB069D	Jonathan S Turner
58CA7219	Brendan Meeder
8631684C	Larry S Davis
7E4DA2B1	Jiayuan Huang
7EFA6D4B	Cormac Flanagan
8595E180	Don Coppersmith
09F2E774	Hamid Jafarkhani
78F79C49	Danushka Bollegala
83EA1C71	Henk M Blanken
8153D1FF	Animesh Nandi
0FA04B05	Richard E Hank
85F66FD3	Massimo Franceschetti
79745805	Daniel D Gajski
7CBBA654	Joelle Pineau
861F5932	Daniel Marcu
81E4DF61	Sayan Mukherjee
4848D06F	Nachimuthu Karunanithi
85B66340	Akihiro Nakao
7F1AA18B	Prasant Mohapatra
82CA1D57	Tevfik Bultan
296520E9	Oded Maler
7ECF4620	Bruno Diniz
80BE6CC2	Birgit Pfitzmann
7D902138	Phillip Rogaway
803D189A	Aron Culotta
2C2AFC0A	William H Mangionesmith
7B52FE95	Salim Roukos
7F1A7EF4	Guohui Wang
59294FED	Jeanpierre Hubaux
80687464	Xue Bai
7BF3E360	Guillaume Brat
0F7D0DA0	Rajeev Balasubramonian
82E7D1FF	Lance R Williams
7D1B6F0D	Abdelsalam Helal
1EF0234D	Stefano Ceri
85AA1560	Edward Omiecinski
7D3EF948	Valery Naumov
8026553C	Narayanan Shivakumar
7C74928A	David Carmel
7F4FE015	Zhigang Hu
794FD5A2	Weimin Shen
7D2976B6	Ravi Kumar
7DBF284B	Sangdon Lee
85B62D7A	Dimitris Papadias
7B1D9023	Michael Montemerlo
7B4613A0	Rada Mihalcea
0DC1542E	Christopher B Colohan
4926B3D8	Axel Van Lamsweerde
79070F71	Serge Demeyer
83636F90	George Cybenko
8119D74E	Luigi Rizzo
AE8CFF9D	Xi Chen
7F92A988	Robert Lingle
7DC0B9B4	Yuliang Wu
831927C9	Noam Nisan
8625A5C6	Grigory Begelman
80C7E7AD	Erin Bradner
812A0F59	Kenneth Abend
769FFABC	Leigh Stoller
758F1E9D	Nigel Duffy
8063F16C	Elizabeth Oneil
7F3AAE9D	Mayer D Schwartz
4F1A5614	Steve Cronentownsend
84CF133B	L Rodney Goke
7E2206DD	Youngme Moon
854FFF30	George Robertson
7D7D1CB5	John Burgess
7EAD5B3C	Jihun Ham
439025A1	Thomas Siegenthaler
7F4670CB	Marcos K Aguilera
77666BAA	Bridget Dahill
80B6205A	P F Tsuchiya
01C84A39	Peter Szolovits
7ECDD966	Jianying Zhou
84E8EC00	Burton S Kaliski
8637C671	Oded Shmueli
0F268171	Amy Bruckman
7E08389F	Francesca Toni
80C57797	Namit Jain
7F6D85C9	Jaewook Lee
E3352D04	Peng Xie
79041A2C	Timo Soininen
0C07A6C6	Dan Boneh
80CF32CA	Vipin Kumar
7F746A0B	Yu Kou
7FE76A2E	Jingmin Song
7E784B4D	John Wilkes
85684A51	Ravi Prakash
805E92F5	Andrew P Black
75204CAD	G J Lipovski
800B7160	Jack Edmonds
80ACABED	Keshu Zhang
0567D3A2	Yannis Velegrakis
7BA0F14E	Manfred J Pfluegl
00201D34	Ben Wegbreit
8112DAAC	Yanlin Li
82844B2D	Henk C A Van Tilborg
7FAE4597	Nicholas J Wang
850E282E	R Van Der Merwe
06BB3AB6	Mehran Sahami
7B504DCB	Ellen Zegura
7F1EB4F1	Robert W Root
756E041D	A W Rihaczek
80444CF0	Ken Tang
7ECED135	Frank Leymann
7EA9E37B	Steven Minton
7EA703FA	Jingdong Wang
7514CDBC	Sean Rhea
0B9076B1	Umberto Straccia
7998B280	Michael Waidner
0ECA2F16	Martin Odersky
82CA4254	Andrew Rabinovich
7DCC002A	John A Kunze
7D85699E	J A Moore
80006CCF	Michael J Franklin
809E5C52	Xiaola Lin
7A0E2EA5	Kenneth Zeger
80DF7314	Kyunghan Lee
7D9B91C4	Minling Zhang
8519C2C7	A S Krishnakumar
0C97614F	Aris L Moustakas
7F92F454	Ji Zhu
7FEA5093	Matthew Jacobsen
07C72735	Johan Agat
7E21F9A0	Tingfan Wu
775598CB	Edwin S H Hou
21BCA87C	Auke Jan Ijspeert
7A5A323E	Myron Lipow
7E85E1B4	Alessio Signorini
0F6AD5C8	Dani Yogatama
78D9E4BC	Berry Schoenmakers
85D3B654	Hyoungjoo Kim
7CF75A0F	Radford M Neal
7A3566FD	Michael Kearns
7ED7F292	Loren C Carpenter
7F540333	Clark Barrett
7EB92878	Sarita V Adve
7F26F553	K K Ramakrishnan
7FCCFAC8	Jeff Heflin
856DE02A	S O Hubner
7E61CFE2	Shoukat Ali
772916E3	Francisco Curbera
13245141	Christian Collberg
7E0B9757	Olin Shivers
6EB54630	Mikkel Thorup
852545AF	Hyunjoo Lee
86013717	Anu Padki
03100F7A	Yuji Kukimoto
7C68A928	Michael Luby
7F65708A	Dushyanth Narayanan
7AEF79A0	Mircea R Stan
85C4EC3F	Leonid Libkin
7B2F6AE6	Karl Pettis
00862132	Vitaly Shmatikov
